Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Clatterbuck Michelle M,EVP and CFO,2021-08-26,Sale,549.26,1652,907378,Aug 30 03:03 PM
Chriss James Alexander,"EVP,  SBSEG",2021-08-26,Sale,549.26,481,264194,Aug 30 02:59 PM
Tessel Marianna,"EVP, Chief Technology Officer",2021-08-10,Option Exercise,0,542,0,Aug 12 02:42 PM
SMITH BRAD D,Executive Chairman,2021-08-10,Option Exercise,0,2882,0,Aug 12 02:37 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp. Sec.",2021-08-10,Option Exercise,0,347,0,Aug 12 02:34 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-08-10,Option Exercise,0,186,0,Aug 12 02:31 PM
FENNELL LAURA A,"EVP, People and Places",2021-08-10,Option Exercise,0,999,0,Aug 12 01:00 PM
Clatterbuck Michelle M,EVP and CFO,2021-08-10,Option Exercise,0,796,0,Aug 12 12:54 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-10,Option Exercise,0,574,0,Aug 12 12:52 PM
Tessel Marianna,EVP & Chief Technology Officer,2021-08-01,Option Exercise,0,402,0,Aug 02 06:48 PM
Chriss James Alexander,"EVP, SBSEG",2021-08-01,Option Exercise,0,576,0,Aug 02 06:09 PM
Tessel Marianna,EVP & Chief Technology Officer,2021-07-01,Option Exercise,0,2561,0,Jul 02 05:28 PM
SMITH BRAD D,Executive Chairman,2021-07-01,Option Exercise,0,11118,0,Jul 02 05:25 PM
McLean Kerry J,"EVP, Gen. Counsel & Corp Sec.",2021-07-01,Option Exercise,0,663,0,Jul 02 05:22 PM
FLOURNOY MARK J,"SVP, Chief Accounting Officer",2021-07-01,Option Exercise,0,406,0,Jul 02 05:14 PM
Clatterbuck Michelle M,EVP and CFO,2021-07-01,Option Exercise,0,2467,0,Jul 02 04:45 PM
