Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Huang Jen Hsun,"Pres, CEO",2024-07-05,Sale,127.87,240000,-30688598,865098395,Jul 09 04:24 PM
Huang Jen Hsun,"Pres, CEO",2024-07-02,Sale,123.26,240000,-29581600,865338395,Jul 05 04:20 PM
Huang Jen Hsun,"Pres, CEO",2024-06-28,Sale,123.91,240000,-29738301,865578395,Jul 02 06:08 PM
Huang Jen Hsun,"Pres, CEO",2024-06-26,Sale,124.63,240000,-29912143,865818395,Jun 28 04:20 PM
Kress Colette,"EVP, CFO",2024-06-24,Sale,122.15,200000,-24430514,5864542,Jun 26 04:09 PM
Huang Jen Hsun,"Pres, CEO",2024-06-24,Sale,122.13,240000,-29310576,866058395,Jun 26 04:08 PM
Huang Jen Hsun,"Pres, CEO",2024-06-20,Sale,131.49,240000,-31557278,866298395,Jun 21 08:12 PM
Kress Colette,"EVP, CFO",2024-06-21,Sale,126.99,100000,-12699088,6064542,Jun 21 08:05 PM
Robertson Donald F Jr,Principal Accounting Officer,2024-06-21,Sale,128.17,4500,-576751,503878,Jun 21 04:35 PM
Huang Jen Hsun,"Pres, CEO",2024-06-17,Sale,132.90,240000,-31894854,867047230,Jun 20 04:23 PM
Huang Jen Hsun,"Pres, CEO",2024-06-13,Sale,129.94,240000,-31184783,867287230,Jun 17 05:00 PM
Stevens Mark A,Dir,2024-06-11,Sale,124.14,470000,-58344021,39696720,Jun 13 05:52 PM
Coxe Tench,Dir,2024-06-07,Sale,1194.57,100000,-119457412,3657612,Jun 10 04:55 PM
Shoquist Debora,"EVP, Operations",2024-06-05,Sale,1222.83,715,-874324,144223,Jun 07 05:15 PM
Shoquist Debora,"EVP, Operations",2024-06-05,Sale,1200.69,10425,-12517143,249533,Jun 07 05:14 PM
Stevens Mark A,Dir,2024-06-05,Sale,1199.06,16670,-19988343,4016672,Jun 07 05:12 PM
Shoquist Debora,"EVP, Operations",2024-06-04,Sale,1151.59,15000,-17273842,259958,Jun 05 05:02 PM
Shoquist Debora,"EVP, Operations",2024-06-03,Sale,1136.41,15000,-17046175,274958,Jun 05 05:02 PM
Stevens Mark A,Dir,2024-06-03,Sale,1139.20,8900,-10138892,4033342,Jun 05 05:01 PM
Stevens Mark A,Dir,2024-05-29,Sale,1141.43,26939,-30748961,4042242,May 31 04:05 PM
Hudson Dawn E,Dir,2024-05-29,Sale,1150.03,5000,-5750150,45500,May 31 04:03 PM
McCaffery Michael G,Dir,2024-05-28,Sale,1147.34,57,-65398,9630,May 30 04:29 PM
McCaffery Michael G,Dir,2024-05-28,Sale,1122.91,3879,-4355785,9687,May 30 04:29 PM
Seawell A Brooke,Dir,2024-05-28,Sale,1117.72,1438,-1607281,500650,May 30 04:27 PM
Hudson Dawn E,Dir,2024-05-24,Sale,1079.41,20000,-21588245,50500,May 29 04:13 PM
Dabiri John,Dir,2024-05-24,Sale,1043.95,198,-206702,1857,May 29 04:12 PM
Stevens Mark A,Dir,2024-04-05,Sale,879.97,22700,-19975240,4069181,Apr 09 04:30 PM
Perry Mark L,Dir,2024-04-02,Sale,887.89,7000,-6215259,131612,Apr 03 04:27 PM
Stevens Mark A,Dir,2024-03-28,Sale,905.65,11000,-9962150,4091881,Apr 01 05:03 PM
Dabiri John,Dir,2024-03-25,Sale,940.00,128,-120320,2055,Mar 27 05:06 PM
Robertson Donald F Jr,Principal Accounting Officer,2024-03-22,Sale,911.62,450,-410229,49815,Mar 26 06:38 PM
Stevens Mark A,Dir,2024-03-07,Sale,919.33,21750,-19995508,4102881,Mar 11 04:55 PM
Drell Persis,Dir,2024-03-05,Sale,845.13,5000,-4225640,28828,Mar 06 07:53 PM
Stevens Mark A,Dir,2024-03-04,Sale,853.54,12000,-10242502,4124631,Mar 06 06:46 PM
Coxe Tench,Dir,2024-03-05,Sale,850.10,200000,-170020366,3787612,Mar 06 06:01 PM
Stevens Mark A,Dir,2024-02-23,Sale,798.63,15000,-11979400,4136631,Feb 27 05:08 PM
Perry Mark L,Dir,2024-02-23,Sale,796.45,15000,-11946692,138612,Feb 27 05:06 PM
McCaffery Michael G,Dir,2023-12-13,Sale,636.18,8250,-5248448,13566,Feb 27 05:04 PM
Jones Harvey C,Dir,2024-02-23,Sale,815.87,65000,-53031712,749980,Feb 27 05:02 PM
Stevens Mark A,Dir,2024-01-12,Sale,546.95,36000,-19690344,4151631,Jan 16 05:33 PM
Stevens Mark A,Dir,2024-01-10,Sale,545.30,54148,-29527009,4187631,Jan 12 05:42 PM
Shoquist Debora,"EVP, Operations",2024-01-08,Sale,500.00,5676,-2838000,238005,Jan 09 05:54 PM
Robertson Donald F Jr,Principal Accounting Officer,2024-01-05,Sale,484.62,450,-218079,50961,Jan 09 05:53 PM
Shoquist Debora,"EVP, Operations",2023-12-18,Sale,500.04,20000,-10000860,243681,Dec 20 05:20 PM
Hudson Dawn E,Dir,2023-12-15,Sale,492.53,1000,-492525,70500,Dec 19 05:57 PM
Stevens Mark A,Dir,2023-12-15,Sale,490.20,10200,-5000042,4241779,Dec 19 05:54 PM
Stevens Mark A,Dir,2023-12-13,Sale,481.60,10400,-5008640,4251979,Dec 15 07:24 PM
Shoquist Debora,"EVP, Operations",2023-11-29,Sale,482.42,15824,-7633761,271624,Dec 01 08:26 PM
Shoquist Debora,"EVP, Operations",2023-11-27,Sale,479.98,40000,-19199010,287448,Dec 01 08:23 PM
Hudson Dawn E,Dir,2023-11-28,Sale,477.77,11000,-5255469,71500,Nov 30 05:35 PM
Dabiri John,Dir,2023-11-24,Sale,484.99,218,-105728,2183,Nov 28 07:39 PM
Stevens Mark A,Dir,2023-11-24,Sale,483.14,10280,-4966714,4262379,Nov 28 07:38 PM
Shoquist Debora,"EVP, Operations",2023-11-27,Sale,479.98,40000,-19199010,287448,Nov 28 07:36 PM
Huang Jen Hsun,"Pres, CEO",2023-09-14,Sale,455.75,29684,-13528345,86758465,Sep 18 05:00 PM
Huang Jen Hsun,"Pres, CEO",2023-09-13,Sale,454.01,29688,-13478507,86639715,Sep 13 08:57 PM
Huang Jen Hsun,"Pres, CEO",2023-09-12,Sale,451.97,29688,-13417928,7918875,Sep 13 08:55 PM
Huang Jen Hsun,"Pres, CEO",2023-09-11,Sale,449.00,29688,-13329754,86639715,Sep 11 08:01 PM
Huang Jen Hsun,"Pres, CEO",2023-09-07,Sale,458.30,29688,-13605939,7918875,Sep 11 07:59 PM
Huang Jen Hsun,"Pres, CEO",2023-09-06,Sale,471.55,29688,-13999287,86520965,Sep 06 07:55 PM
Huang Jen Hsun,"Pres, CEO",2023-09-01,Sale,485.53,59376,-28828766,7800125,Sep 06 07:54 PM
Stevens Mark A,Dir,2023-08-28,Sale,480.91,52175,-25091708,4272659,Aug 30 05:13 PM
Kress Colette,"EVP, CFO",2023-08-28,Sale,460.74,4980,-2294476,576996,Aug 30 05:08 PM
Dabiri John,Dir,2023-06-26,Sale,424.53,283,-120142,2401,Jun 27 05:48 PM
Stevens Mark A,Dir,2023-06-16,Sale,431.03,118602,-51120609,4324184,Jun 21 05:01 PM
Coxe Tench,Dir,2023-06-14,Sale,422.15,50000,-21107720,3986962,Jun 16 05:00 PM
Seawell A Brooke,Dir,2023-06-14,Sale,424.69,860,-365233,501438,Jun 15 04:59 PM
Jones Harvey C,Dir,2023-06-13,Sale,403.17,119795,-48297293,814330,Jun 14 04:54 PM
Hudson Dawn E,Dir,2023-06-07,Sale,384.03,3500,-1344108,81850,Jun 09 04:12 PM
Jones Harvey C,Dir,2023-06-02,Sale,405.00,70205,-28433025,934125,Jun 06 04:58 PM
Dabiri John,Dir,2023-06-01,Sale,384.89,383,-147413,2034,Jun 05 08:02 PM
Kress Colette,"EVP, CFO",2023-05-30,Sale,406.51,6124,-2489468,616313,Jun 01 04:36 PM
Coxe Tench,Dir,2023-05-26,Sale,379.00,100000,-37900000,4036962,May 31 06:26 PM
Drell Persis,Dir,2023-05-26,Sale,386.03,7800,-3011042,35478,May 31 05:20 PM
Shoquist Debora,"EVP, Operations",2023-05-18,Sale,305.00,23084,-7040620,352848,May 22 04:35 PM
