Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Reynolds Shelley,VP,2024-11-21,Sale,200.24,3791,-759090,125798,Nov 25 04:18 PM
Garman Matthew S,CEO Amazon Web Services,2024-11-21,Sale,200.19,15260,-3054828,350149,Nov 25 04:09 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-11-15,Sale,205.81,5502,-1132355,525493,Nov 19 07:21 PM
Huttenlocher Daniel P,Dir,2024-11-19,Sale,199.06,1237,-246237,24912,Nov 19 06:51 PM
Bezos Jeffrey P,Exec Chair,2024-11-12,Sale,207.99,3300720,-686521413,911119894,Nov 14 04:27 PM
Rubinstein Jonathan,Dir,2024-11-07,Sale,209.85,4766,-1000145,94630,Nov 12 04:30 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-11-08,Sale,207.80,5992724,-1245279944,914420614,Nov 12 04:24 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-11-06,Sale,205.48,5992724,-1231381630,920413338,Nov 08 04:47 PM
Alexander Keith Brian,Dir,2024-11-04,Sale,196.37,900,-176733,3860,Nov 06 04:51 PM
Rubinstein Jonathan,Dir,2024-11-01,Sale,199.85,5004,-1000049,99396,Nov 05 04:44 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-11-01,Sale,198.96,3500,-696360,517242,Nov 05 04:39 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-11-01,Sale,200.07,1068452,-213760597,926406062,Nov 05 04:31 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-10-01,Sale,184.80,3500,-646800,520740,Oct 03 04:19 PM
Zapolsky David,SVP,2024-09-24,Sale,195.00,2190,-427050,62420,Sep 26 04:40 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-09-03,Sale,177.87,3500,-622545,524238,Sep 05 04:20 PM
Jassy Andrew R,"Pres, CEO",2024-08-21,Sale,180.77,20784,-3757109,2131929,Aug 23 05:18 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-08-21,Sale,181.20,6104,-1106048,527738,Aug 23 05:09 PM
Garman Matthew S,CEO Amazon Web Services,2024-08-21,Sale,180.76,15260,-2758409,365409,Aug 23 05:02 PM
Olsavsky Brian T,"SVP, CFO",2024-08-21,Sale,180.00,14600,-2628000,50562,Aug 23 04:55 PM
Zapolsky David,SVP,2024-08-21,Sale,180.88,9490,-1716563,64610,Aug 23 04:49 PM
Reynolds Shelley,VP,2024-08-21,Sale,181.04,3791,-686331,124117,Aug 23 04:42 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-08-15,Sale,175.29,5502,-964456,518582,Aug 19 04:42 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-08-01,Sale,189.25,3500,-662375,510329,Aug 05 04:30 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-07-11,Sale,200.03,403974,-80806192,928029899,Jul 15 04:14 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-07-09,Sale,200.11,2262411,-452723161,928433873,Jul 11 04:09 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-07-05,Sale,200.15,4314109,-863487543,930696284,Jul 09 04:22 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-07-02,Sale,200.07,1664886,-333097736,935010393,Jul 05 04:15 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-07-01,Sale,199.12,16000,-3185965,513828,Jul 03 04:44 PM
Zapolsky David,SVP,2024-06-27,Sale,195.00,4710,-918450,59500,Jul 01 04:38 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-06-03,Sale,177.29,3500,-620524,529826,Jun 05 05:09 PM
Jassy Andrew R,"Pres, CEO",2024-05-21,Sale,181.44,20784,-3770948,2100748,May 23 06:02 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-05-21,Sale,181.40,6096,-1105838,533326,May 23 05:54 PM
Olsavsky Brian T,"SVP, CFO",2024-05-21,Sale,182.11,14600,-2658806,50558,May 23 05:47 PM
Zapolsky David,SVP,2024-05-21,Sale,181.41,9490,-1721603,64210,May 23 05:40 PM
Selipsky Adam,CEO Amazon Web Services,2024-05-21,Sale,181.81,4600,-836337,146007,May 23 05:32 PM
Reynolds Shelley,VP,2024-05-21,Sale,181.39,2700,-489750,122436,May 23 05:24 PM
Selipsky Adam,CEO Amazon Web Services,2024-05-15,Sale,184.72,9016,-1665456,141607,May 17 04:40 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-05-15,Sale,184.33,5502,-1014160,524182,May 17 04:30 PM
Rubinstein Jonathan,Dir,2024-05-09,Sale,190.00,5264,-1000160,104400,May 13 04:37 PM
Alexander Keith Brian,Dir,2024-05-06,Sale,186.22,1000,-186220,4760,May 08 04:42 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-05-01,Sale,180.29,3500,-631012,515930,May 03 05:16 PM
Selipsky Adam,CEO Amazon Web Services,2024-04-18,Sale,180.19,1000,-180190,130583,Apr 22 04:25 PM
Selipsky Adam,CEO Amazon Web Services,2024-04-04,Sale,183.27,1000,-183265,131583,Apr 08 04:24 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-04-01,Sale,180.73,3500,-632555,519428,Apr 03 05:24 PM
Selipsky Adam,CEO Amazon Web Services,2024-03-21,Sale,178.79,1000,-178790,132583,Mar 25 04:31 PM
Selipsky Adam,CEO Amazon Web Services,2024-03-07,Sale,175.56,1000,-175560,133583,Mar 11 04:34 PM
Rubinstein Jonathan,Dir,2024-03-04,Sale,180.00,5556,-1000080,109664,Mar 06 05:44 PM
Jassy Andrew R,"Pres, CEO",2024-03-04,Sale,180.00,50000,-9000000,2069566,Mar 06 05:39 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-03-01,Sale,176.67,3500,-618345,522922,Mar 05 04:43 PM
McGrath Judith A,Dir,2024-02-29,Sale,174.84,5760,-1007050,39120,Mar 04 04:40 PM
Jassy Andrew R,"Pres, CEO",2024-02-21,Sale,168.79,22048,-3721405,2119566,Feb 23 05:43 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-02-21,Sale,168.97,9488,-1603187,526422,Feb 23 05:31 PM
Olsavsky Brian T,"SVP, CFO",2024-02-21,Sale,168.97,16800,-2838696,50527,Feb 23 05:18 PM
Zapolsky David,SVP,2024-02-21,Sale,169.21,10920,-1847748,59100,Feb 23 05:05 PM
Selipsky Adam,CEO Amazon Web Services,2024-02-21,Sale,169.33,4104,-694940,134583,Feb 23 04:48 PM
Reynolds Shelley,VP,2024-02-21,Sale,168.97,3100,-523807,122436,Feb 23 04:34 PM
Jassy Andrew R,"Pres, CEO",2024-02-16,Sale,168.65,50000,-8432500,2086494,Feb 20 08:00 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-02-15,Sale,170.55,3864,-659005,512190,Feb 20 07:54 PM
Selipsky Adam,CEO Amazon Web Services,2024-02-15,Sale,169.40,11256,-1906782,130927,Feb 20 07:47 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-02-15,Sale,168.95,14006906,-2147483647,938251817,Feb 20 07:23 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-02-13,Sale,169.50,11997698,-2033604145,952258723,Feb 15 04:28 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-02-12,Sale,175.00,14300,-2502500,506395,Feb 14 04:29 PM
Rubinstein Jonathan,Dir,2024-02-09,Sale,171.00,12133,-2074743,115220,Feb 13 04:41 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-02-09,Sale,173.30,11997698,-2079210214,964256421,Feb 13 04:31 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2024-02-07,Sale,169.99,20200,-3433752,520695,Feb 09 08:57 PM
Bezos Jeffrey P,"Exec Chair, 10%",2024-02-07,Sale,170.21,11997698,-2042160939,976254119,Feb 09 08:37 PM
Selipsky Adam,CEO Amazon Web Services,2024-02-01,Sale,162.36,1000,-162360,116543,Feb 05 04:35 PM
Selipsky Adam,CEO Amazon Web Services,2024-01-18,Sale,153.32,1000,-153320,117543,Jan 22 04:36 PM
Selipsky Adam,CEO Amazon Web Services,2024-01-04,Sale,145.12,1000,-145120,118543,Jan 08 04:44 PM
Selipsky Adam,CEO Amazon Web Services,2023-12-21,Sale,153.52,1000,-153515,119543,Dec 26 04:35 PM
Selipsky Adam,CEO Amazon Web Services,2023-12-06,Sale,146.93,1000,-146925,120543,Dec 08 05:10 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-12-01,Sale,146.00,4000,-584000,540894,Dec 05 04:12 PM
Jassy Andrew R,"Pres, CEO",2023-11-21,Sale,142.66,21933,-3129008,2139437,Nov 24 04:49 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-11-21,Sale,143.15,9480,-1357019,544894,Nov 24 04:42 PM
Zapolsky David,SVP,2023-11-21,Sale,144.51,25160,-3635785,53220,Nov 24 04:36 PM
Olsavsky Brian T,"SVP, CFO",2023-11-21,Sale,143.76,16800,-2415168,50524,Nov 24 04:30 PM
Selipsky Adam,CEO Amazon Web Services,2023-11-21,Sale,143.02,4104,-586954,121543,Nov 24 04:23 PM
Reynolds Shelley,VP,2023-11-21,Sale,143.19,3120,-446745,122436,Nov 24 04:16 PM
Selipsky Adam,CEO Amazon Web Services,2023-11-15,Sale,144.43,11256,-1625753,117887,Nov 17 04:59 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-11-15,Sale,147.06,3864,-568240,530674,Nov 17 04:56 PM
Huttenlocher Daniel P,Dir,2023-11-17,Sale,142.83,1237,-176681,23676,Nov 17 04:47 PM
Selipsky Adam,CEO Amazon Web Services,2023-11-02,Sale,138.90,1000,-138900,103503,Nov 06 05:02 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-11-01,Sale,133.98,4000,-535920,524879,Nov 03 05:33 PM
Selipsky Adam,CEO Amazon Web Services,2023-10-19,Sale,129.27,1000,-129270,104503,Oct 23 04:32 PM
Selipsky Adam,CEO Amazon Web Services,2023-10-05,Sale,125.39,1000,-125385,105503,Oct 10 05:13 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-10-02,Sale,127.20,4000,-508800,528877,Oct 04 04:33 PM
Selipsky Adam,CEO Amazon Web Services,2023-09-20,Sale,135.14,1000,-135140,106503,Sep 22 04:35 PM
Zapolsky David,SVP,2023-09-14,Sale,145.13,42816,-6213886,64380,Sep 18 05:04 PM
Selipsky Adam,CEO Amazon Web Services,2023-09-05,Sale,136.89,1000,-136890,107503,Sep 07 04:32 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-09-01,Sale,139.48,4000,-557920,532875,Sep 06 05:05 PM
Jassy Andrew R,"Pres, CEO",2023-08-21,Sale,133.92,21933,-2937228,2106243,Aug 23 05:17 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-08-21,Sale,133.87,9480,-1269072,536875,Aug 23 05:14 PM
Olsavsky Brian T,"SVP, CFO",2023-08-21,Sale,133.61,16800,-2244648,50524,Aug 23 05:11 PM
Zapolsky David,SVP,2023-08-21,Sale,133.87,6720,-899617,107196,Aug 23 05:08 PM
Selipsky Adam,CEO Amazon Web Services,2023-08-21,Sale,134.02,4104,-550004,108503,Aug 23 05:05 PM
Reynolds Shelley,VP,2023-08-21,Sale,133.87,3100,-414999,122436,Aug 23 05:02 PM
Selipsky Adam,CEO Amazon Web Services,2023-08-15,Sale,139.84,70556,-9866798,104847,Aug 17 07:12 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-08-15,Sale,140.02,3864,-541037,522655,Aug 17 05:28 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-08-04,Sale,141.00,50000,-7050000,516860,Aug 08 06:02 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-08-01,Sale,133.55,4000,-534200,566858,Aug 03 04:32 PM
Selipsky Adam,CEO Amazon Web Services,2023-07-24,Sale,129.27,1000,-129266,149763,Jul 26 04:48 PM
Selipsky Adam,CEO Amazon Web Services,2023-07-06,Sale,128.95,1000,-128952,150763,Jul 10 04:32 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-07-03,Sale,130.93,4000,-523720,570855,Jul 06 04:34 PM
Selipsky Adam,CEO Amazon Web Services,2023-06-21,Sale,126.89,1000,-126891,151763,Jun 23 04:33 PM
Selipsky Adam,CEO Amazon Web Services,2023-06-06,Sale,124.95,1000,-124951,152763,Jun 08 04:33 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-06-01,Sale,120.61,4000,-482440,574855,Jun 05 04:34 PM
Bezos Jeffrey P,"Exec Chair, 10%",2023-05-25,Purchase,114.77,1,+115,990476371,May 26 04:20 PM
Jassy Andrew R,"Pres, CEO",2023-05-22,Sale,115.37,21925,-2529446,2073049,May 23 07:49 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-05-22,Sale,115.56,9472,-1094610,578853,May 23 07:46 PM
Olsavsky Brian T,"SVP, CFO",2023-05-22,Sale,116.69,16800,-1960392,50519,May 23 07:42 PM
Zapolsky David,SVP,2023-05-22,Sale,115.56,6720,-776586,97116,May 23 07:38 PM
Selipsky Adam,CEO Amazon Web Services,2023-05-22,Sale,115.36,4120,-475301,153763,May 23 07:35 PM
Reynolds Shelley,VP,2023-05-22,Sale,115.60,3100,-358353,122436,May 23 07:32 PM
Selipsky Adam,CEO Amazon Web Services,2023-05-15,Sale,110.47,11260,-1243914,150103,May 17 04:40 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-05-15,Sale,110.39,3864,-426549,564645,May 17 04:37 PM
Selipsky Adam,CEO Amazon Web Services,2023-05-04,Sale,104.68,1020,-106776,135743,May 08 05:08 PM
Herrington Douglas J,CEO Worldwide Amazon Stores,2023-05-01,Sale,105.00,4000,-420000,558847,May 03 04:14 PM
Selipsky Adam,CEO Amazon Web Services,2023-04-19,Sale,103.97,1020,-106048,136763,Apr 21 06:06 PM
